watershed, turing point in a course of events, his visit to Australia proved to be a watershed in his career.
waver, to be indecisive, He was wavering in his decision to buy a new car.
wayward, "changeable, selfish and difficult to control", The wayward nature of the son worried his father.
weighty, very seriour and important, The committee had no power to make a decision; all weighty decisions had to be approved by the CEO.

